,Buy
737,0
11895,1
8777,1
9070,1
8802,0
6387,1
7882,1
5981,1
1321,1
1995,1
7034,1
6444,1
7844,0
6053,1
800,1
9373,1
2086,1
7589,1
69,1
5367,1
9660,1
8862,0
5170,0
1680,0
377,0
1469,1
2603,0
4181,1
6486,0
4505,0
11842,1
4230,1
3091,0
2726,0
477,1
1329,0
2283,1
3732,0
11938,0
751,1
6275,0
8916,0
873,1
6107,0
11821,0
9209,1
4564,0
1545,1
739,0
10593,1
2683,0
9495,0
10271,1
5121,1
8233,0
3518,1
8677,1
2354,1
10443,0
5908,0
773,1
5943,0
11361,1
5200,0
9790,1
641,0
6499,1
6076,1
6315,0
7757,1
4309,0
5204,1
865,0
10896,1
11841,1
7563,0
12237,0
7599,1
7367,0
8330,0
962,0
11246,0
8456,1
8674,1
9626,0
3309,0
2166,0
363,0
3723,1
2825,1
11956,1
3597,1
4726,1
546,0
2940,0
471,1
1641,1
9386,0
3338,1
5635,0
1172,0
9636,0
5273,1
5492,1
10630,0
10237,1
10625,1
11796,0
5747,1
12361,0
1410,0
7407,1
8373,1
5706,1
9212,0
2694,0
815,0
2131,0
1797,0
4575,1
5190,1
3122,0
5365,1
7799,1
4275,0
11445,0
3089,1
7257,1
10483,1
12358,1
11468,1
5253,1
237,1
1532,1
11650,0
7068,0
3410,0
2831,0
11264,1
1535,1
3879,0
5302,1
7781,1
1299,1
5499,1
11478,1
8857,1
1480,1
2793,1
9260,0
12104,0
5091,1
2329,0
6071,1
10089,0
12115,0
10346,0
3661,0
555,1
4825,1
1163,0
7660,0
4715,1
397,0
9619,1
8118,0
10884,0
7104,0
11755,0
6597,0
723,1
300,1
10391,1
6607,0
4294,1
6343,0
4185,0
12208,1
5700,0
12170,0
3142,1
8211,0
6319,0
3205,0
4955,0
4582,1
11203,0
11846,1
6934,1
7484,0
9730,1
1152,0
1212,0
4503,1
10159,0
12008,0
9027,1
5427,0
7549,0
6532,1
665,1
11146,1
642,0
11431,0
3767,1
4272,1
10761,1
786,1
2857,0
3202,1
7403,1
4187,0
10928,1
10264,1
4824,0
2905,1
4626,0
8825,1
996,1
6489,0
8858,0
6913,0
5523,1
6074,0
156,0
9643,1
3085,1
8629,1
1552,1
7795,1
11087,0
11995,1
3795,1
495,0
2321,0
6558,0
7921,1
151,0
8817,0
9408,1
6800,0
11876,1
1738,0
3001,0
11612,1
7653,0
7127,0
11137,1
10855,1
2883,1
3720,1
10897,1
11366,1
7067,0
5471,0
6088,1
7825,1
2276,1
4823,0
4704,0
4461,1
343,1
6433,1
4136,0
8934,0
6478,0
6556,1
2223,1
4196,0
8083,1
5674,0
10458,1
5081,1
7520,1
12282,0
11303,1
4734,0
11574,1
1465,1
4593,1
2234,1
7120,0
3903,0
283,0
11460,1
6339,1
10610,1
8509,0
8523,1
4151,0
6739,0
11667,0
2121,0
5719,1
5012,1
9536,1
6383,1
3161,0
2630,0
10659,0
10532,0
8276,1
11098,1
1203,1
8400,1
616,1
1926,1
3114,1
2641,0
11091,1
2562,1
8466,0
2728,0
5924,1
9820,0
2126,0
6601,1
10196,1
7113,1
8759,0
805,0
4694,0
10398,1
7073,1
3140,0
4280,1
5338,0
9340,1
566,1
9749,1
547,0
26,0
10175,1
3918,0
4486,0
6922,0
5398,1
8559,0
6191,1
1221,1
7685,0
2548,1
11717,0
437,0
7223,0
12254,0
9597,0
1861,0
2699,0
8645,1
10036,0
2481,1
9844,0
10432,1
2706,1
8106,0
326,0
5135,1
5325,1
2499,1
1004,1
9934,1
6923,0
4011,1
11350,0
534,0
8117,1
3960,0
585,1
10191,1
8617,1
8355,1
6605,0
8377,1
491,0
5885,1
7977,1
6077,0
7254,1
9713,0
3548,0
7733,0
1916,0
3185,1
5890,1
1910,1
4034,1
6521,0
1133,0
7930,1
7457,0
2518,1
8904,0
1317,0
4368,0
121,1
9480,1
2449,1
6208,0
5662,1
6664,0
2601,0
1522,1
3484,1
2173,0
3283,0
4554,0
