,Buy
1207,1.0
202,1.0
1462,1.0
835,1.0
246,1.0
1439,0.0
1750,0.0
1733,0.0
1153,0.0
1426,0.0
384,0.0
1623,1.0
854,0.0
1589,1.0
219,1.0
641,1.0
1,1.0
112,0.0
698,1.0
1761,1.0
951,1.0
1616,0.0
1410,1.0
1409,1.0
1533,1.0
1291,1.0
1668,0.0
441,1.0
1520,1.0
1136,0.0
1256,0.0
1718,0.0
1397,0.0
663,1.0
1692,1.0
1257,1.0
1637,1.0
317,1.0
648,1.0
1434,0.0
1479,1.0
709,1.0
1382,1.0
1282,0.0
972,1.0
627,1.0
632,0.0
1306,0.0
1400,1.0
1408,1.0
1248,1.0
1796,1.0
1254,0.0
1496,1.0
1371,1.0
1529,0.0
1354,0.0
1771,1.0
1749,0.0
1643,0.0
1704,1.0
795,1.0
645,1.0
1012,0.0
1695,1.0
556,0.0
681,1.0
577,0.0
1109,1.0
1266,1.0
1183,0.0
524,1.0
1059,1.0
540,0.0
1194,1.0
748,1.0
1707,1.0
1430,1.0
484,1.0
95,0.0
1020,1.0
563,1.0
1264,1.0
742,0.0
863,1.0
1598,1.0
1484,0.0
891,0.0
1577,1.0
1038,1.0
206,0.0
392,1.0
794,1.0
870,0.0
397,0.0
766,0.0
1697,1.0
1241,0.0
1028,1.0
642,0.0
1741,1.0
612,0.0
960,1.0
1570,0.0
725,0.0
683,0.0
98,1.0
804,1.0
1597,1.0
406,0.0
502,0.0
1071,0.0
1056,1.0
929,0.0
779,1.0
200,0.0
134,0.0
1051,1.0
40,1.0
1017,1.0
230,0.0
1513,1.0
378,0.0
288,1.0
418,1.0
1698,1.0
391,1.0
592,0.0
1522,1.0
1162,1.0
1086,0.0
1495,1.0
647,1.0
1152,1.0
1367,0.0
520,0.0
64,1.0
14,0.0
1180,1.0
1064,1.0
492,1.0
379,1.0
187,1.0
763,1.0
216,1.0
791,0.0
1076,1.0
878,0.0
337,1.0
719,1.0
295,0.0
1725,1.0
1016,0.0
1275,0.0
1485,1.0
455,1.0
1839,0.0
815,0.0
269,1.0
995,1.0
201,1.0
161,0.0
1579,1.0
729,0.0
401,0.0
702,0.0
1500,1.0
1129,1.0
565,0.0
1413,0.0
1021,0.0
1025,1.0
1411,1.0
1585,1.0
1104,1.0
205,1.0
34,0.0
775,0.0
508,1.0
1451,0.0
1478,1.0
1813,0.0
1390,0.0
91,1.0
1363,0.0
897,1.0
564,0.0
1369,1.0
776,1.0
241,0.0
13,1.0
315,1.0
600,0.0
387,1.0
1297,1.0
166,0.0
840,1.0
20,0.0
646,1.0
1508,1.0
1154,0.0
1528,0.0
831,1.0
1267,1.0
1590,1.0
562,0.0
1795,1.0
686,1.0
957,0.0
189,0.0
975,1.0
699,0.0
1499,1.0
1705,0.0
510,1.0
1082,0.0
474,1.0
1584,1.0
856,1.0
747,0.0
252,1.0
21,0.0
1337,0.0
459,1.0
1184,0.0
276,1.0
955,1.0
1215,1.0
385,0.0
805,0.0
1437,0.0
1515,1.0
343,0.0
769,0.0
1332,0.0
1685,1.0
130,1.0
1687,1.0
871,1.0
1123,0.0
1396,1.0
87,0.0
1482,1.0
330,1.0
1238,1.0
466,1.0
121,0.0
1638,1.0
1044,1.0
1724,1.0
1095,1.0
1130,0.0
1294,1.0
860,1.0
1459,0.0
1126,1.0
